#####,Type,,Region I,Season,Time of Day
00001,Air,environment breeze quiet rich dynamic depth subtle field space atmosphere texture sound,Northern Forests,Fall,Morning
00002,Air,sound recording texture presence subtle gentle dynamic background organic motion environment atmosphere,Northern Forests,Fall,Morning
00003,Water,Calm forest creek flowing over pebbles,Northern Forests,Fall,Afternoon
00004,Water,environment organic space motion recording texture depth field calm breeze gentle ambient,Northern Forests,Fall,Afternoon
00005,Water,field presence sound background environment calm space forest recording subtle organic dynamic,Northern Forests,Fall,Afternoon
00006,Air,space subtle layered depth gentle detailed forest environment calm organic quiet texture,Northern Forests,Fall,Afternoon
00007,Air,rich background depth ambient sound quiet space natural dynamic gentle environment organic,Northern Forests,Fall,Afternoon
00008,Air,recording sound environment natural quiet presence organic dynamic calm forest background rich,Northern Forests,Fall,Afternoon
00009,Air,presence sound field forest depth dynamic detailed texture breeze environment background quiet,Northern Forests,Fall,Afternoon
00010,Air,gentle breeze environment motion presence layered atmosphere natural rich sound detailed field,Northern Forests,Fall,Afternoon
00011,Air,texture breeze layered rich motion calm sound forest field detailed space natural,Northern Forests,Fall,Afternoon
00012,Hybrid,space dynamic subtle field layered forest organic calm depth gentle atmosphere sound,Northern Forests,Fall,Morning
00013,Water,background dynamic field layered texture atmosphere environment natural gentle calm presence ambient,Northern Forests,Fall,Morning
00014,Air,motion rich background environment texture sound gentle field organic recording subtle atmosphere,Northern Forests,Fall,Afternoon
00015,Air,forest recording depth detailed layered breeze quiet space environment natural calm texture,Northern Forests,Fall,Afternoon
00016,Air,background sound depth presence natural calm detailed quiet rich space gentle forest,Northern Forests,Fall,Afternoon
00017,Air,forest quiet motion calm ambient layered subtle atmosphere gentle environment space detailed,Northern Forests,Fall,Afternoon
00018,Air,forest field dynamic background atmosphere recording presence organic breeze gentle layered detailed,Northern Forests,Fall,Afternoon
00019,Air,natural organic detailed field dynamic rich breeze quiet depth atmosphere gentle ambient,Northern Forests,Fall,Afternoon
00020,Air,forest layered environment ambient space quiet breeze gentle natural rich atmosphere texture,Northern Forests,Fall,Afternoon
00021,Air,calm motion natural detailed breeze depth field dynamic presence background atmosphere layered,Northern Forests,Fall,Afternoon
00022,Air,natural field rich environment sound presence forest space background depth breeze subtle,Eastern Temperate Forests,Fall,Afternoon
00023,Air,sound layered forest atmosphere calm recording environment presence natural gentle background rich,Eastern Temperate Forests,Fall,Afternoon
00024,Air,background texture motion dynamic sound natural atmosphere detailed gentle ambient depth rich,Eastern Temperate Forests,Fall,Afternoon
00025,Air,breeze sound dynamic natural ambient rich quiet subtle space environment atmosphere background,Eastern Temperate Forests,Fall,Afternoon
00026,Air,layered organic texture environment presence ambient gentle forest detailed subtle recording background,Northern Forests,Fall,Afternoon
00027,Air,quiet environment sound space recording depth organic subtle natural motion rich ambient,Northern Forests,Fall,Afternoon
00028,Air,recording natural presence environment organic background breeze quiet depth layered sound motion,Northern Forests,Fall,Afternoon
00029,Air,environment rich atmosphere forest dynamic detailed recording depth layered presence calm breeze,Northern Forests,Fall,Afternoon
00030,Air,gentle quiet forest breeze space environment texture background recording depth ambient organic,Northern Forests,Fall,Afternoon
00031,Water,ambient subtle layered forest natural background texture environment presence dynamic breeze recording,Northern Forests,Fall,Afternoon
00032,Water,layered natural field breeze ambient background presence gentle organic detailed space recording,Northern Forests,Fall,Afternoon
00033,Water,rich depth gentle motion presence natural recording breeze sound subtle space field,Northern Forests,Fall,Afternoon
00034,Water,field environment layered space gentle motion calm ambient quiet depth atmosphere dynamic,Northern Forests,Fall,Afternoon
00035,Water,breeze calm detailed field gentle atmosphere ambient organic quiet dynamic texture rich,Northern Forests,Fall,Afternoon
00036,Water,sound calm forest subtle rich motion gentle texture field dynamic layered atmosphere,Northern Forests,Fall,Afternoon
00037,Hybrid,forest natural presence recording calm depth organic layered field detailed gentle dynamic,Northern Forests,Fall,Afternoon
00038,Hybrid,gentle layered texture environment breeze atmosphere forest motion presence natural organic dynamic,Northern Forests,Fall,Afternoon
00039,Water,calm atmosphere dynamic sound organic natural background field subtle ambient depth detailed,Northern Forests,Fall,Afternoon
00040,Water,organic field environment ambient natural forest quiet presence space motion gentle dynamic,Northern Forests,Fall,Afternoon
